,label,content
10,경제,"금리 상승기를 맞아 돈을 통장에 넣어두고 이자를 받으려는 수요가 늘면서 지난 5월 통화량이 반년 만에 가장 크게 불었습니다. 한국은행이 오늘(12일) 공개한 통화 및 유동성 통계를 보면, 5월 평균 광의 통화량(M2 기준)은 3천696조 9천억 원으로, 4월보다 29조 8천억 원(0.8%) 늘어났습니다. 월간 기준으로 지난해 11월(45조 6천억 원) 이후 6개월 만에 최대 증가 폭입니다. M2 통화량은 지난 3월(-0.1%) 3년 반 만에 감소했다가 4월(0.2%)부터 두 달째 증가세를 보이고 있습니다. 1년 전과 비교하면 M2 규모는 9.3% 늘어났는데, 전월의 증가율(9.4%)보다는 소폭 둔화했습니다. 넓은 의미의 통화량 지표 M2에는 현금, 요구불예금, 수시입출금식 예금(이상 M1) 외에 머니마켓펀드(MMF), 2년 미만 정기 예금, 적금, 수익증권, 양도성예금증서(CD), 환매조건부채권(RP), 2년 미만 금융채, 2년 미만 금전신탁 등 곧바로 현금화할 수 있는 단기 금융상품이 포함됩니다. 금융상품 중에서는 정기 예·적금이 21조 원, 요구불예금이 7조 4천억 원 증가했습니다. MMF의 경우 8조 1천억 원 감소했습니다. 경제 주체별로는 가계 및 비영리단체와 기업이 정기 예·적금을 중심으로 각각 12조 1천억 원과 13조 7천억 원 늘었습니다. 가계 및 비영리단체는 금리가 오른 데다 안전자산 선호 심리 때문에, 기업은 금융지원과 운전자금 관련 대출 증가로 정기 예·적금이 늘어난 것으로 분석됐습니다. 소상공인 손실 보상 관련 집행 자금 등이 지방자치단체에 유입된 영향으로 기타 부문에서도 정기 예·적금을 중심으로 7조 9천억 원 늘었습니다. 현금·요구불예금·수시입출금식 예금만 포함하는 좁은 의미의 통화량 M1의 5월 평균은 1천373조 9천억 원으로, 한 달 새 0.5% 증가했습니다.[사진 출처 : 연합뉴스]"
11,경제,"SK텔레콤이 이동통신사 가운데 처음으로 5G ‘중간요금제’ 상품 출시 신고서를 과기정통부에 제출한 것과 관련, 시민단체는 실효성이 크지 않을 것이라고 지적했습니다.  참여연대는 오늘(12일) 논평을 통해 “정부의 중저가 요금제 도입 독려에 이동통신 3사가 화답한 것은 의미있다”면서도 “SK텔레콤의 ‘중간요금제’는 이용자 요구를 제대로 반영해내지 않은 ‘생색내기식 조치’에 가깝다”고 말했습니다.  이어 “요금제 선택지가 하나 늘어났을 뿐 소비자 선택권은 여전히 제한적이며 저가 요금제에 더 높은 데이터 단가를 부과하는 차별적 문제도 전혀 시정되지 않았다”라고 주장했습니다.  시민단체에 따르면, 데이터 1GB당 부과하는 요금이 고가요금제 이용자에 비해 저가요금제 이용자가 13배 이상 비싼 구조를 유지하면서 통신사들이 사실상 고가요금제에 서비스를 집중하고 있다는 겁니다.  또, 약정 등으로 요금제 변경이 쉽지 않은 점 등을 고려하면 당장 데이터 제공량 24GB 수준인 ‘중간요금제’ 도입으로 혜택을 보는 경우는 극히 제한적일 수 밖에 없다고 참여연대는 덧붙였습니다.  참여연대는 정부와 통신사가 민생 안정에 보탬이 되는 방안을 제시하고자 한다면, 현행 5G 요금제의 구조적인 문제를 제대로 개선하거나 손익분기점을 넘어 막대한 초과이익을 거두고 있는 LTE 요금을 낮추는 등 다각적인 대책을 찾아야 할 것이라고 말했습니다.[사진 출처 : 연합뉴스]"
12,경제,"미국 연방준비제도(Fed·연준)의 강도 높은 긴축 움직임 속에 외국인이 지난달 국내 주식시장에서 3조 9천81억 원을 회수한 것으로 나타났습니다. 한국은행이 오늘(12일) 발표한 국제금융·외환시장 동향을 보면 6월 중 외국인의 국내 주식 투자자금은 30억 1천만 달러 순유출됐습니다.  6월 말 원/달러 환율(1,298원 40전)을 기준으로 보면 약 3조 9천81억 원이 빠져나간 겁니다. 지난 2월부터 5개월째 이어진 순유출은 지난 5월, 12억 9천만 달러보다 규모가 더 커졌습니다. 외국인 채권 투자자금은 민간자금 중심으로 22억 3천만 달러 순유입됐는데, 채권 투자자금 순유입은 18개월째 이어져 역대 최장 기록을 세웠습니다.  주식 투자자금의 순유출 폭이 확대되고, 채권 투자자금의 순유입 폭이 지난 5월과 비슷한 수준을 유지하면서 6월 전체 외국인 증권 투자자금은 1개월 만에 순유출(7억 8천만 달러)로 전환했습니다. 우리나라 국채(외국환평형기금채 5년물 기준)의 신용부도스와프(CDS) 프리미엄은 지난달 월평균 48bp(1bp=0.01%포인트)로, 지난 5월보다 4bp 더 높아져 2018년 4월(49bp) 이후 4년 2개월 만에 가장 높은 수준을 기록했습니다. CDS는 채권을 발행한 국가나 기업이 부도났을 때 손실을 보상해주는 일종의 보험 성격의 금융파생상품으로 해당 국가 경제의 위험이 커지면 대체로 프리미엄도 올라갑니다. 한은 관계자는 ""CDS 프리미엄이 올해 빠른 속도로 오르고 있어 하루하루 모니터링하고 있다""면서도 ""아직 심각하게 우려할 수준은 아니라고 보고 있다""고 설명했습니다."
13,정치,"북한에 내일부터 폭우와 강풍이 예상된다고 북한 매체들이 보도했습니다.북한 매체들은 “내일(13일) 서해안의 대부분 지역과 강원도·함경남도 남부 지역에서, 14일부터 15일에는 나선시와 함경북도 북부 지역에서 폭우와 많은 비 주의 경보를 발령한다”고 보도했습니다. 또 “내일 새벽부터 오후까지 황해남도 바닷가를 위주로 서해안의 여러 지역에서 초당 10ｍ 이상의 센 바람이 불고, 옹진·용연 등 일부 지역에선 한때 초당 15ｍ 이상의 강풍도 불 것”이라며, 내일 서해안 여러 지역에 ‘센바람 주의 경보’가 발령됐다고 전했습니다.[사진 출처 : 연합뉴스 / 조선중앙TV화면]"
14,정치,"윤석열 대통령과 국민의힘 권성동 대표 직무대행 겸 원내대표가 지난 10일, 서울 모처에서 만나 이준석 대표 징계 처분에 따른 수습 방향을 논의한 것으로 전해졌습니다. 권 직무대행은 이 자리에서 이 대표 징계 이후 앞으로 어떻게 당을 운영할지를 분석한 내용을 토대로 윤 대통령에게 보고한 것으로 보입니다. 해당 보고에는 이 대표의 당원권 정지 징계 처분을 당 대표 ‘궐위’가 아닌 ‘사고’로 간주해 ‘직무대행체제’로 가는 것이 맞는다는 내용이 포함된 것으로 알려졌습니다. 윤 대통령은 ‘당 내 의원들의 의견을 모아서 해달라’는 취지의 답을 했고, 다른 특별한 입장은 밝히지 않은 것으로 전해졌습니다. 권 직무대행은 윤 대통령과 만난 다음 날인 어제(11일) 최고위원회의와 당 초·재선·중진 모임, 의원총회를 거쳐 직무대행 체제를 추인받았습니다. 대통령실 관계자는 “윤 대통령은 당의 운영에 대해 ‘이렇게 하라, 저렇게 하라’ 얘기하는 사람이 아니”라며 “권 직무대행이 당헌·당규에 따라 수습책을 보고했으면 ‘그렇게 하라’고 했을 것”이라고 말했습니다.[사진 출처 : 연합뉴스]"
15,정치,"국방부는 이종섭 장관이 오늘(12일) 고공 강하 세계군인선수권대회에서 처음으로 금메달을 딴 특수전사령부 여군 대표팀을 격려했다고 밝혔습니다.앞서 김성미, 이지선, 이진영 상사와 박이슬, 이현지 중사 등으로 구성된 특전사 여군 대표팀은 지난달 20일부터 열흘 동안 오스트리아에서 열린 대회에 출전해 4인조 스카이다이빙 부문에서 1위를 차지했습니다. 이는 1957년 한국이 국제군인스포츠위원회 회원국으로 가입한 이후 종목별 세계선수권 대회에서 처음으로 딴 금메달입니다.  4인조 스카이다이빙은 4명이 약 3.2킬로미터 상공 항공기에서 뛰어내려 서로의 팔과 다리를 잡고 빠르고 정확하게 대형을 만드는 능력을 겨루는 종목입니다.이 장관은 “이번 성과는 우리 군의 전투 역량을 국제적으로 널리 알리고 특전사의 고공 침투 능력이 세계 최고 수준임을 입증한 계기”라며 “앞으로도 최정예 특전부대원답게 임무 수행 능력을 향상해 달라”고 당부했습니다.[사진 출처 : 연합뉴스 / 국방부 제공]"
16,정치,"군에서 코로나19 확진자가 939명 추가로 발생했다고 국방부가 밝혔습니다. 오늘(12일) 오후 2시 기준 추가 확진자는 육군 603명, 해군 91명, 공군 130명, 해병대 44명, 국방부 직할부대 66명, 합동참모본부 1명, 한미연합사령부 1명, 국방부 3명입니다. 이는 전날 445명의 2배가 넘는 규모입니다. 누적 확진자는 18만 3천405명이며, 이 가운데 관리 중인 인원은 3천884명입니다. 한편 주한미군사령부는 이달 5∼11일 확진자가 157명 추가됐다고 웹사이트에 공개했습니다. 한 주 전의 약 3배에 이릅니다. 이 가운데 148명은 한국 내 미군기지에서 발생한 확진자이고, 나머지 9명은 해외 유입 사례입니다.[사진 출처 : 연합뉴스]"
17,국제,"12일 호주 공영 ABC 방송에 따르면, 미국을 방문 중인 리처드 말스 호주 부총리 겸 국방장관은 이날 워싱턴 DC의 미국 전략국제문제연구소(CSIS))에서 한 강연에서, 중국이 2차 세계대전 이후 최대 규모의 군사적 팽창을 시도하고 있다며 이에 적극 대처해야 한다고 밝혔습니다. 말스 장관은 엄청난 규모로 팽창하는 중국의 군사력이 인도-태평양을 넘어 세계의 안보 상황을 변화시키고 있다며, 미국과 호주의 동맹이 ‘현상 유지’에 그쳐서는 곤란하다고 경고했습니다. 말스 장관은 이어 “미국은 호주가 역내 지도력을 행사하기를 기대한다”면서 호주 정부는 자국 안보를 포함해 제 역할을 할 것이라고 말했습니다. 호주는 인도-태평양 지역에서 중국의 영향력을 차단하기 위해 미국이 주도하는 오커스(AUKUS·미국·영국·호주 안보 동맹), 쿼드(Quad·미국·일본·호주·인도의 안보 협의체) 등에 적극적으로 참여하고 있습니다.[사진 출처 : AP=연합뉴스]"
18,정치,"윤석열 대통령은 오늘(12일) 산업통상자원부 업무보고에서 '규제 혁파'와 원전 생태계의 조속한 복원 등을 지시했습니다. ■윤 대통령, 산자부에 ""원전 생태계 조속히 복원해야"" 윤 대통령은 오늘 용산 대통령실에서 이창양 산업부 장관으로부터 1시간 40분가량 새 정부 정책 방향에 대한 독대 보고를 받았습니다. 윤 대통령은 우선 규제 혁파와 연구개발(R&D) 지원, 첨단 인재 양성을 통해, 성장 지향 전략을 확고하게 구축할 것을 주문했습니다. 또 산업부가 원전 생태계를 조속히 복원하고 일감을 조기 공급할 것, 반도체 산업의 견고한 소부장(소재·부품·장비) 생태계 구축을 적극 지원할 것도 당부했습니다. 이와 함께 (나토정상회의가 열렸던) 마드리드 정상외교와 연계한 원전, 방산, 인프라 수출에 관해 산자부가 중심이 돼 조기 성과를 도출하도록 진행할 것을 주문했고, 하절기 전력 수급에도 만전을 기하길 바란다고 말했다고, 대통령실 강인선 대변인은 전했습니다. 이창양 장관은 업무보고를 통해 윤석열 정부 5년 동안 ▲성장지향 산업전략 ▲국익과 실용 중심의 통상전략 ▲에너지 수요·공급부문 혁신과 신산업 창출 등 3대 전략과 11개 핵심 과제를 집중 추진할 계획이라고 밝혔습니다. 성장지향 산업전략으로는 규제개선, 투자 인센티브, 입지 개선 등을 통해 민간 투자를 활성화하는 것을 핵심으로 꼽았습니다. 국익과 실용 중심의 통상전략으로는 양자 통상채널을 활용한 기업의 공급 안정화 지원과 첨단산업 분야 상호투자·기술협력을 통한 공급망 강화 계획이 거론됐습니다. 이와 함께 에너지 수요·공급부문 혁신과 신산업 창출과 관련해서는 원전 비중을 30% 이상 확대해 '튼튼한 에너지 안보'를 구축하기로 했고, 신한울 3·4호기는 환경영향평가를 즉시 개시해 2024년까지 건설을 추진하기로 했습니다. 이 장관은 ""규제에 발목 잡힌 기업 투자 애로부터 신속히 해소해 민간이 주도하고 정부가 지원하는 성장지향 산업전략으로 산업의 대전환을 추진하겠다""며 ""원전 비중을 30% 이상으로 확대해 튼튼한 에너지 안보를 구축하면서 원전 생태계의 조속한 복원과 원전 수출을 통해 원전 강국으로 도약하는 데 노력하겠다""고 말했습니다. ■중기부에는 소상공인 채무 부담 완화 방안 지시 윤석열 대통령은 뒤이어 이영 중소벤처기업부 장관의 1시간가량 업무보고에서는 ""소상공인의 금융 채무 부담을 완화하는 데 정책 역량을 모아달라""고 주문했습니다. 아울러 ""최근 원자재 가격이 상승하고 있으니, 협력업체의 납품 단가가 적정하게 조정될 수 있도록 상생협력 여건을 조성해달라""고 했고, 기술 탈취를 비롯한 중소기업의 사업 의욕을 위축시키는 불공정 거래 관행을 근절해달라""고 지시했습니다. 윤 대통령은 이밖에 스타트업 기업들이 강소기업, 글로벌 기업으로 성장해갈 수 있도록 자금 지원, 연구개발(R&D) 지원, 판로 지원 등에 정책 역량을 집중할 것과 중소기업 가업 승계가 원활히 이뤄질 수 있도록 지원할 것 등을 중기부에 주문했다고 강 대변인은 밝혔습니다. 이영 장관은 '중소벤처가 주도하는 디지털 경제 시대 선도국가 도약'을 부처의 비전으로 내세우면서, 창업벤처·소상공인·중소기업을 위한 3대 고객별 맞춤형 핵심 과제와 하반기 중점 과제를 추진하기로 했다고 보고했습니다. 이 장관은 ""창업벤처는 글로벌 시장개척과 초격차 스타트업을 통해 미래를 선도하도록 하고, 소상공인은 당면한 '3고(고물가·고금리·고환율) 위기'를 돌파하고 기업가형 소상공인이 될 수 있도록 육성하는 한편, 중소기업은 대한민국 경제의 든든한 허리로 성장시키기 위해 잘못된 관행을 정상화하는 데 노력하겠다""고 밝혔습니다.[사진 출처 : 연합뉴스]"
19,사회,"강원도 해변에서 물놀이를 한 뒤 인근 가정집에 허락 없이 들어가 몸을 씻고 나온 가족이 주거침입 혐의로 검찰에 송치됐습니다. 관광객인 A 씨와 B 씨 등은 지난달(6월) 25일, 강원도 고성군 죽왕면에서 자녀 등 가족 4명과 함께 주인이 외출한 가정집에 허락 없이 들어가 샤워를 하고 나온 혐의를 받고 있습니다. 이들은 경찰 조사에서, 해당 가정집 화장실을 인근 식당 화장실로 착각했다고 말했습니다.[사진 출처 : 연합뉴스 / 보배드림 게시물 갈무리]"
